Certain infectious or parasitic diseases,某些感染性疾病或寄生虫病
Gastroenteritis or colitis of infectious origin,感染性胃肠炎或结肠炎
Bacterial intestinal infections,细菌性肠道感染
Cholera,霍乱
Intestinal infection due to other Vibrio,其他弧菌的肠道感染
Intestinal infections due to Shigella,志贺菌肠道感染
Intestinal infections due to Escherichia coli,大肠埃希菌肠道感染
Enteropathogenic Escherichia coli infection,肠致病性大肠埃希菌感染
Enterotoxigenic Escherichia coli infection,产肠毒素性大肠埃希菌感染
Enteroinvasive Escherichia coli infection,肠侵袭性大肠埃希菌感染
Enterohaemorrhagic Escherichia coli infection,肠出血性大肠埃希菌感染
Intestinal infections due to other specified Escherichia coli,其他特指的大肠埃希菌肠道感染
"Intestinal infections due to Escherichia coli, unspecified",未特指的大肠埃希菌肠道感染
Intestinal infections due to Clostridioides difficile,难辨梭状芽孢杆菌引起的肠道感染
Intestinal infections due to Yersinia enterocolitica,小肠结肠耶尓森菌肠道感染
Gastroenteritis due to Campylobacter,弯曲菌性胃肠炎
Typhoid fever,伤寒
Typhoid peritonitis,伤寒并发腹膜炎
Other specified typhoid fever,其他特指的伤寒
"Typhoid fever, unspecified",未特指的伤寒
Paratyphoid fever,副伤寒
Infections due to other Salmonella,其他沙门菌感染
Salmonella enteritis,沙门菌肠炎
Infections due to other Salmonella in other organs,其他沙门菌引起的其他特指的感染
"Salmonella infection, unspecified",其他沙门菌引起的未特指的感染
Abdominal actinomycosis,腹部放线菌病
Other specified bacterial intestinal infections,其他特指的细菌性肠道感染
"Bacterial intestinal infections, unspecified",未特指的细菌性肠道感染
Bacterial foodborne intoxications,细菌性食物中毒
Foodborne staphylococcal intoxication,葡萄球菌食物中毒
Botulism,肉毒中毒
Foodborne intoxication by botulinum toxin,肉毒毒素食源性中毒
Other forms of botulism,其他形式的肉毒中毒
"Botulism, unspecified",未特指的肉毒中毒
Foodborne Clostridium perfringens intoxication,产气荚膜梭状芽孢杆菌食物中毒
Foodborne Bacillus cereus intoxication,蜡样芽孢杆菌食物中毒
Other specified bacterial foodborne intoxications,其他特指的细菌性食物中毒
"Bacterial foodborne intoxications, unspecified",未特指的细菌性食物中毒
Viral intestinal infections,病毒性肠道感染
Enteritis due to Adenovirus,腺病毒性肠炎
Gastroenteritis due to Astrovirus,星状病毒肠炎
Gastroenteritis due to Rotavirus,轮状病毒胃肠炎
Enteritis due to Norovirus,诺如病毒肠炎
