1,CA-A CANCER JOURNAL FOR CLINICIANS,"55,868",508.702,0.10514,CA: a cancer journal for clinicians,,,,,,,,,
2,NATURE REVIEWS MOLECULAR CELL BIOLOGY,"58,477",94.444,0.07548,Nature reviews. Molecular cell biology,,,,,,,,,
3,NEW ENGLAND JOURNAL OF MEDICINE,"464,351",91.245,0.63118,Journal of medicine,Australian and New Zealand journal of medicine,,,,,,,,
4,NATURE REVIEWS DRUG DISCOVERY,"41,989",84.694,0.04822,Nature reviews. Drug discovery,,,,,,,,,
5,LANCET,"369,601",79.321,0.44524,"Lancet (London, England)",,,,,,,,,
6,Nature Reviews Clinical Oncology,"17,973",66.675,0.03876,Nature reviews. Clinical oncology,,,,,,,,,
7,Nature Reviews Materials,"19,887",66.308,0.05677,Nature reviews. Materials,,,,,,,,,
8,Nature Energy,"28,166",60.858,0.08007,Nature energy,,,,,,,,,
9,NATURE REVIEWS CANCER,"62,391",60.716,0.05917,Nature reviews. Cancer,,,,,,,,,
10,NATURE REVIEWS MICROBIOLOGY,"43,313",60.633,0.05415,Nature reviews. Microbiology,,,,,,,,,
11,CHEMICAL REVIEWS,"224,417",60.622,0.21618,Chemical reviews,,,,,,,,,
12,MMWR Surveillance Summaries,"3,806",58.769,0.01298,MMWR. CDC surveillance summaries : Morbidity and mortality weekly report. CDC surveillance summaries,,,,,,,,,
13,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,"224,147",56.272,0.27975,,,,,,,,,,
14,MMWR Recommendations and Reports,"3,288",55.857,0.01123,MMWR. Recommendations and reports : Morbidity and mortality weekly report. Recommendations and reports,,,,,,,,,
15,NATURE BIOTECHNOLOGY,"78,786",54.908,0.14567,Nature biotechnology,,,,,,,,,
16,CHEMICAL SOCIETY REVIEWS,"173,170",54.564,0.17657,,,,,,,,,,
17,REVIEWS OF MODERN PHYSICS,"58,097",54.494,0.04506,Reviews of modern physics,,,,,,,,,
18,NATURE MEDICINE,"114,401",53.44,0.18405,Nature medicine,,,,,,,,,
19,NATURE REVIEWS GENETICS,"42,803",53.242,0.05893,Nature reviews. Genetics,,,,,,,,,
20,NATURE REVIEWS IMMUNOLOGY,"55,784",53.106,0.06392,Nature reviews. Immunology,,,,,,,,,
21,Nature Reviews Disease Primers,"14,221",52.329,0.04355,Nature reviews. Disease primers,,,,,,,,,
22,NATURE,"915,925",49.962,1.0894,Nature,,,,,,,,,
23,World Psychiatry,"9,619",49.548,0.02003,World psychiatry : official journal of the World Psychiatric Association (WPA),,,,,,,,,
25,SCIENCE,"814,971",47.728,0.89576,Science,"Science (New York, N.Y.)",,,,,,,,
26,Nature Reviews Gastroenterology & Hepatology,"15,358",46.802,0.0286,Nature reviews. Gastroenterology & hepatology,Nature reviews. Disease primers,,,,,,,,
27,JOURNAL OF CLINICAL ONCOLOGY,"189,443",44.544,0.24903,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,,,,,,,,,
28,LANCET NEUROLOGY,"43,457",44.182,0.05956,The Lancet. Neurology,,,,,,,,,
29,NATURE MATERIALS,"112,429",43.841,0.13005,Nature materials,,,,,,,,,
30,Nature Reviews Endocrinology,"15,040",43.33,0.02607,Nature reviews. Endocrinology,,,,,,,,,
31,Nature Reviews Neurology,"15,738",42.937,0.02958,Nature reviews. Neurology,,,,,,,,,
32,Nature Catalysis,"9,725",41.813,0.02989,Nature catalysis,,,,,,,,,
33,CELL,"320,407",41.582,0.52696,Cell,,,,,,,,,
34,LANCET ONCOLOGY,"72,804",41.316,0.13853,The Lancet. Oncology,,,,,,,,,
35,Joule,"17,275",41.248,0.04624,Joule,,,,,,,,,
