1,CA-A CANCER JOURNAL FOR CLINICIANS,"55,868",,508.702,0.105140,CA: a cancer journal for clinicians
4,NATURE REVIEWS DRUG DISCOVERY,"41,989",,84.694,0.048220,Nature reviews. Drug discovery
8,Nature Energy,"28,166",,60.858,0.080070,Nature energy
17,REVIEWS OF MODERN PHYSICS,"58,097",,54.494,0.045060,Reviews of modern physics
21,Nature Reviews Disease Primers,"14,221",,52.329,0.043550,Nature reviews. Disease primers
25,SCIENCE,"814,971",,47.728,0.895760,Science,"Science (New York, N.Y.)"
41,Nature Photonics,"52,833",,38.771,0.081100,Nature photonics
43,NATURE GENETICS,"113,066",,38.330,0.186810,Nature genetics
46,MATERIALS SCIENCE & ENGINEERING R-REPORTS,"8,652",,36.214,0.004770,ACS combinatorial science,"Advanced materials (Deerfield Beach, Fla.)","Advanced science (Weinheim, Baden-Wurttemberg, Germany)",Dental materials journal,Integrative and comparative biology,Macromolecular rapid communications,Molecular informatics,Photochemistry and photobiology,Angewandte Chemie (International ed. in English)
48,Nature Reviews Chemistry,"5,750",,34.035,0.017520,Nature reviews. Chemistry
58,ADVANCED MATERIALS,"320,972",,30.849,0.431450,"Advanced materials (Deerfield Beach, Fla.)"
59,Lancet Respiratory Medicine,"22,278",,30.700,0.040840,The Lancet. Respiratory medicine
68,NATURE METHODS,"90,805",,28.547,0.197050,Nature methods
70,Nature Reviews Nephrology,"10,033",,28.314,0.019840,Nature reviews. Nephrology
78,CLINICAL MICROBIOLOGY REVIEWS,"25,627",,26.132,0.017210,Clinical microbiology reviews
89,Nature Climate Change,"36,321",,25.290,0.079660,Nature climate change
92,Wiley Interdisciplinary Reviews-Computational Molecular Science,"7,883",,25.113,0.007920,Wiley interdisciplinary reviews. Computational molecular science
93,JOURNAL OF HEPATOLOGY,"52,238",,25.083,0.078790,Journal of hepatology
96,Cell Stem Cell,"32,147",,24.633,0.062780,Cell stem cell
103,Science Robotics,"4,176",,23.748,0.011770,Science robotics
107,GUT,"58,318",,23.059,0.072260,Gut
121,Alzheimers & Dementia,"21,824",,21.566,0.045940,The journal of prevention of Alzheimer's disease,Alzheimer's & dementia : the journal of the Alzheimer's Association,Journal of Alzheimer's disease : JAD
122,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,"76,608",,21.405,0.086310,Critical care medicine
124,Cell Host & Microbe,"28,716",,21.023,0.062110,Cell reports,Current opinion in microbiology,European journal of cell biology,Microbiology spectrum,"Stem cells (Dayton, Ohio)",Wiley interdisciplinary reviews. RNA,Frontiers in cellular and infection microbiology,International journal of medical microbiology : IJMM
129,FUNGAL DIVERSITY,"5,535",,20.372,0.005150,Fungal diversity
134,EUROPEAN UROLOGY,"42,109",,20.096,0.062260,European urology
137,Annual Review of Entomology,"16,059",,19.686,0.007640,Annual review of entomology
140,APPLIED CATALYSIS B-ENVIRONMENTAL,"123,618",,19.503,0.127070,"Applied catalysis. B, Environmental"
143,Annual Review of Physiology,"11,515",,19.318,0.009940,Annual review of physiology
151,Annual Review of Clinical Psychology,"8,484",,18.561,0.008950,Annual review of clinical psychology
154,DRUG RESISTANCE UPDATES,"4,315",,18.500,0.004180,Drug resistance updates : reviews and commentaries in antimicrobial and anticancer chemotherapy
155,Lancet Gastroenterology & Hepatology,"7,075",,18.486,0.018750,The lancet. Gastroenterology & hepatology,"Lancet (London, England)"
160,Signal Transduction and Targeted Therapy,"3,848",,18.187,0.005730,Signal transduction and targeted therapy
164,Science Translational Medicine,"45,509",,17.956,0.103780,Science translational medicine
168,Nature Microbiology,"15,714",,17.745,0.056250,Nature microbiology
173,PSYCHOTHERAPY AND PSYCHOSOMATICS,"6,123",,17.659,0.006750,Psychosomatics
181,National Science Review,"5,889",,17.275,0.011400,National science review
184,BASIC RESEARCH IN CARDIOLOGY,"5,629",,17.165,0.005290,Archiv fur Kreislaufforschung
186,TRENDS IN MICROBIOLOGY,"17,553",,17.079,0.022820,Trends in microbiology
188,Nature Geoscience,"31,641",,16.908,0.058220,Nature geoscience
191,TRENDS IN IMMUNOLOGY,"16,915",,16.687,0.024570,Trends in immunology
193,Academy of Management Annals,"6,851",,16.438,0.012950,Annals (Royal College of Physicians and Surgeons of Canada)
197,Annual Review of Materials Research,"9,204",,16.286,0.005300,Annual review of materials research
200,PROGRESS IN LIPID RESEARCH,"7,328",,16.195,0.004530,Progress in lipid research
214,Matter,"2,357",,15.589,0.003960,Matter
217,Nature Machine Intelligence,"1,212",,15.508,0.003210,Nature machine intelligence
219,ADVANCED DRUG DELIVERY REVIEWS,"43,769",,15.470,0.028600,Advanced drug delivery reviews
225,Nature Chemical Biology,"27,428",,15.040,0.047880,Nature chemical biology
229,FORBES,"5,512",,14.826,0.018040,Forbes
231,JOURNAL OF CLINICAL INVESTIGATION,"132,296",,14.808,0.114560,Clinical investigation
235,Microbiome,"12,051",,14.650,0.030300,Microbiome
239,Nature Reviews Urology,"5,267",,14.432,0.008470,Nature reviews. Urology
243,Trends in Cancer,"4,237",,14.226,0.012440,Trends in cancer
246,Small Methods,"7,188",,14.188,0.014280,Small methods
248,INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,"12,245",,14.098,0.011670,International journal of information management
251,TRENDS IN NEUROSCIENCES,"22,858",,13.837,0.019470,Trends in neurosciences
255,BRITISH JOURNAL OF SPORTS MEDICINE,"30,986",,13.800,0.040950,British journal of sports medicine
258,Nature Human Behaviour,"5,549",,13.663,0.023120,Nature human behaviour
269,NATURAL PRODUCT REPORTS,"13,293",,13.423,0.011160,Natural product reports
271,BIOLOGICAL PSYCHIATRY,"50,155",,13.382,0.045540,Biological psychiatry. Cognitive neuroscience and neuroimaging
272,Polymer Reviews,"2,958",,13.282,0.002080,"Polymer reviews (Philadelphia, Pa.)"
276,Molecular Plant,"15,778",,13.164,0.026860,Molecular plant
282,JOURNAL OF PINEAL RESEARCH,"12,492",,13.007,0.008170,Journal of pineal research
283,IMMUNOLOGICAL REVIEWS,"19,337",,12.988,0.024380,Immunological reviews
284,ADVANCES IN COLLOID AND INTERFACE SCIENCE,"18,985",,12.984,0.012020,"Science (New York, N.Y.)"
288,MEDICINAL RESEARCH REVIEWS,"6,835",,12.944,0.005530,Medicinal research reviews
294,CLINICAL PSYCHOLOGY REVIEW,"23,058",,12.792,0.021290,Clinical psychology review
299,CANCER RESEARCH,"159,236",,12.701,0.105150,Cancer research
300,ACADEMY OF MANAGEMENT REVIEW,"47,985",,12.638,0.013240,Academy of management review. Academy of Management
305,TRENDS IN FOOD SCIENCE & TECHNOLOGY,"27,289",,12.563,0.022150,Advances in food and nutrition research,Asia Pacific journal of clinical nutrition,Carbohydrate polymers,Food & function,Food chemistry,Journal of agricultural and food chemistry,Journal of food and drug analysis,Nutricion hospitalaria,"Recent patents on food, nutrition & agriculture",Voprosy pitaniia
308,CLINICAL CANCER RESEARCH,"105,958",,12.531,0.131040,Clinical cancer research : an official journal of the American Association for Cancer Research
313,NEURO-ONCOLOGY,"17,812",,12.300,0.029210,Neuro-oncology
319,Advances in Carbohydrate Chemistry and Biochemistry,752,,12.200,0.000200,Advances in carbohydrate chemistry and biochemistry
327,IEEE WIRELESS COMMUNICATIONS,"9,116",,11.979,0.015750,IEEE wireless communications
328,TRENDS IN MOLECULAR MEDICINE,"13,213",,11.951,0.014720,Trends in molecular medicine
331,Analytic Methods in Accident Research,"1,445",,11.806,0.002680,Analytic methods in accident research
336,Dialogues in Human Geography,"1,152",,11.769,0.002240,Dialogues in human geography
339,Liver Cancer,"1,579",,11.740,0.002800,Liver cancer
344,SLEEP MEDICINE REVIEWS,"11,218",,11.609,0.014840,Sleep medicine reviews
347,Theranostics,"23,558",,11.556,0.034890,Theranostics
356,Exposure and Health,"1,322",,11.422,0.001510,Exposure and health
358,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,"20,422",,11.382,0.009390,Journal of international business studies
358,Clinical Gastroenterology and Hepatology,"24,144",,11.382,0.039980,Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association
361,IEEE Computational Intelligence Magazine,"2,039",,11.356,0.002850,IEEE computational intelligence magazine
366,PLANT CELL,"64,794",,11.277,0.036260,The Plant cell
372,NANO LETTERS,"177,909",,11.189,0.206110,Nano letters
381,ADMINISTRATIVE SCIENCE QUARTERLY,"25,321",,11.113,0.011120,Administrative science quarterly
382,Annual Review of Environment and Resources,"5,711",,11.108,0.005340,Annual review of environment and resources
385,RADIOLOGY,"72,249",,11.105,0.053000,Radiology. Artificial intelligence,Radiology. Imaging cancer,Radiologia
391,PERSOONIA,"2,491",,11.051,0.003100,Persoonia
392,Blood Cancer Journal,"4,691",,11.037,0.011440,Blood cancer journal
393,AMERICAN JOURNAL OF HUMAN GENETICS,"43,477",,11.025,0.054200,American journal of human genetics
402,PROCEEDINGS OF THE IEEE,"36,371",,10.961,0.026420,Proceedings of the IEEE. Institute of Electrical and Electronics Engineers
403,MASS SPECTROMETRY REVIEWS,"4,513",,10.946,0.003470,Mass spectrometry reviews
410,IEEE TRANSACTIONS ON IMAGE PROCESSING,"58,008",,10.856,0.075830,IEEE transactions on image processing : a publication of the IEEE Signal Processing Society
421,JOURNAL OF SERVICE RESEARCH,"7,747",,10.667,0.004070,Journal of service research
422,BIOSENSORS & BIOELECTRONICS,"69,561",,10.618,0.075140,Advances in biochemical engineering/biotechnology,Analytical chemistry,Journal of materials chemistry. B,"Multiple sclerosis (Houndmills, Basingstoke, England)",Nature biotechnology,The Analyst,Biosensors & bioelectronics,Essays in biochemistry
425,JOURNAL OF HAZARDOUS MATERIALS,"137,983",,10.588,0.070940,Journal of hazardous materials
428,JOURNAL OF CELL BIOLOGY,"79,173",,10.539,0.057070,Nature cell biology,BMC cell biology
434,JOURNAL OF NANOBIOTECHNOLOGY,"6,775",,10.435,0.007010,Journal of nanobiotechnology
441,MOVEMENT DISORDERS,"35,072",,10.338,0.030790,Movement disorders : official journal of the Movement Disorder Society
448,JOURNAL OF HEART AND LUNG TRANSPLANTATION,"15,107",,10.247,0.021660,Transplantation
451,IEEE Transactions on Industrial Informatics,"27,020",,10.215,0.041550,IEEE transactions on industrial informatics
453,ACADEMY OF MANAGEMENT JOURNAL,"54,951",,10.194,0.032030,Academy of Management journal. Academy of Management
454,HYPERTENSION,"44,350",,10.190,0.040210,International Journal of Cardiology. Hypertension,"Hypertension (Dallas, Tex. : 1979)"
460,JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,"45,533",,10.121,0.047120,Journal of the American Society of Nephrology : JASN
467,AMERICAN JOURNAL OF HEMATOLOGY,"15,239",,10.047,0.022870,American journal of hematology
472,Biofabrication,"6,729",,9.954,0.008610,Biofabrication
477,Advanced Optical Materials,"20,693",,9.926,0.039390,Advanced optical materials
480,Family Business Review,"4,885",,9.848,0.002020,Health care financing review
482,Chemical Science,"65,945",,9.825,0.128260,Chemical science
484,PLANT BIOTECHNOLOGY JOURNAL,"13,143",,9.803,0.018400,Plant biotechnology journal
489,APPLIED ENERGY,"122,712",,9.746,0.153290,Applied energy
490,CURRENT OPINION IN BIOTECHNOLOGY,"18,835",,9.740,0.019700,Current opinion in biotechnology
500,Seminars in Immunopathology,"5,651",,9.623,0.009960,Seminars in immunopathology
503,Trends in Environmental Analytical Chemistry,647,,9.600,0.000800,International journal of environmental analytical chemistry
