1,CA-A CANCER JOURNAL FOR CLINICIANS,"55,868",508.702,0.10514,25651787,26808342,28094848,30207593,30620402,31912902,31944278,32101326,32767693,33433946
2,NATURE REVIEWS MOLECULAR CELL BIOLOGY,"58,477",94.444,0.07548,29339798,29618831,30459476,30523332,30745579,31520073,31636403,31848472,32071438,32424334
3,NEW ENGLAND JOURNAL OF MEDICINE,"464,351",91.245,0.63118,1070986,1071864,1087878,1445032,282848,3204328,6597717,6948544,8002857,
4,NATURE REVIEWS DRUG DISCOVERY,"41,989",84.694,0.04822,30976107,31175342,31900462,31907401,32273591,32467649,32528145,32709961,32782413,33277608
5,LANCET,"369,601",79.321,0.44524,33965073,33992136,34062132,34119056,34246338,34246342,34273294,34274060,34332677,34391494
6,Nature Reviews Clinical Oncology,"17,973",66.675,0.03876,30061739,30333516,30523282,30837712,31092901,31399699,31548600,32203277,32710082,32934330
7,Nature Reviews Materials,"19,887",66.308,0.05677,29075517,29657852,32218994,32395258,32728478,32953138,32995045,33078077,33623712,34168896
8,Nature Energy,"28,166",60.858,0.08007,31179024,31807319,32483491,32719732,33052987,33717504,33898056,33898057,,
9,NATURE REVIEWS CANCER,"62,391",60.716,0.05917,28751651,29692415,29777175,30327499,30967651,31462760,32632251,32753728,32778778,33082563
10,NATURE REVIEWS MICROBIOLOGY,"43,313",60.633,0.05415,30531947,30546113,30737488,31249397,31857715,32055025,32887946,33024307,33057203,33116300
11,CHEMICAL REVIEWS,"224,417",60.622,0.21618,31910626,31964144,32202104,32208601,32316736,32693590,32842743,33050702,33166127,33172277
12,MMWR Surveillance Summaries,"3,806",58.769,0.01298,10955980,1491667,1491668,1532630,1770924,2112689,3086701,8474428,9043091,9259214
13,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,"224,147",56.272,0.27975,,,,,,,,,,
14,MMWR Recommendations and Reports,"3,288",55.857,0.01123,14627948,19357635,21088663,21293327,21918496,24622331,26042815,29702631,32053584,32820746
15,NATURE BIOTECHNOLOGY,"78,786",54.908,0.14567,32300245,32393904,32393912,32518403,32572269,32591762,32868913,33020604,33257861,33384458
16,CHEMICAL SOCIETY REVIEWS,"173,170",54.564,0.17657,32191228,32292941,32337527,32356548,32538416,32632432,32643718,32700702,32926052,33118560
17,REVIEWS OF MODERN PHYSICS,"58,097",54.494,0.04506,21072144,28890576,29503479,31579274,32189812,,,,,
18,NATURE MEDICINE,"114,401",53.44,0.18405,32651579,32807933,32839624,32929268,33020645,33082575,33335323,33442008,33469205,33479499
19,NATURE REVIEWS GENETICS,"42,803",53.242,0.05893,29643443,30228295,30675018,30696980,30918369,31068683,31341269,31395983,32042148,32839576
20,NATURE REVIEWS IMMUNOLOGY,"55,784",53.106,0.06392,30718830,31467405,31570880,31811270,32346093,32546853,32636479,32728222,32887954,33340022
21,Nature Reviews Disease Primers,"14,221",52.329,0.04355,27188934,27734845,28332488,28540937,28980624,29417936,30523303,31420554,31601801,32242028
22,NATURE,"915,925",49.962,1.0894,34158649,34194019,34230662,34234342,34262198,34290419,34349274,34376852,34404946,34417580
23,World Psychiatry,"9,619",49.548,0.02003,30192094,31496087,31496103,31922684,32394556,32394557,32394569,32931092,32931106,33026219
23,World Psychiatry,"9,619",49.548,0.02003,30192094,31496087,31496103,31922684,32394556,32394557,32394569,32931092,32931106,33026219
25,SCIENCE,"814,971",47.728,0.89576,11653629,33926947,33958469,34045338,34045339,34045344,34045345,34045356,34112682,34210863
26,Nature Reviews Gastroenterology & Hepatology,"15,358",46.802,0.0286,27158749,27159638,27188459,27189416,28743984,30190489,30385743,31138897,32242028,32913180
27,JOURNAL OF CLINICAL ONCOLOGY,"189,443",44.544,0.24903,32780660,32795228,32813610,32816629,33021869,33021872,33026938,33078978,33197225,33296242
28,LANCET NEUROLOGY,"43,457",44.182,0.05956,25987278,26194928,28327327,31978357,31978358,32199094,32333894,32702332,32822630,33098799
